,hero,url,url2
50,宫本武藏,http://pvp.qq.com/web201605/herodetail/130.shtml,http://news.17173.com/z/pvp/yxtj/gbwz/index.shtml
51,典韦,http://pvp.qq.com/web201605/herodetail/129.shtml,http://news.17173.com/z/pvp/yxtj/dw/index.shtml
52,曹操,http://pvp.qq.com/web201605/herodetail/128.shtml,http://news.17173.com/z/pvp/yxtj/cc/index.shtml
53,甄姬,http://pvp.qq.com/web201605/herodetail/127.shtml,http://news.17173.com/z/pvp/yxtj/zj/index.shtml
54,夏侯惇,http://pvp.qq.com/web201605/herodetail/126.shtml,http://news.17173.com/z/pvp/yxtj/xhd/index.shtml
55,周瑜,http://pvp.qq.com/web201605/herodetail/124.shtml,http://news.17173.com/z/pvp/yxtj/zhouyu/index.shtml
56,吕布,http://pvp.qq.com/web201605/herodetail/123.shtml,http://news.17173.com/z/pvp/yxtj/lvbu/index.shtml
57,芈月,http://pvp.qq.com/web201605/herodetail/121.shtml,http://news.17173.com/z/pvp/yxtj/my/index.shtml
58,白起,http://pvp.qq.com/web201605/herodetail/120.shtml,http://news.17173.com/z/pvp/yxtj/baiqi/index.shtml
59,扁鹊,http://pvp.qq.com/web201605/herodetail/119.shtml,http://news.17173.com/z/pvp/yxtj/bianque/index.shtml
60,孙膑,http://pvp.qq.com/web201605/herodetail/118.shtml,http://news.17173.com/z/pvp/yxtj/sb/index.shtml
61,钟无艳,http://pvp.qq.com/web201605/herodetail/117.shtml,http://news.17173.com/z/pvp/yxtj/zwy/index.shtml
62,阿轲,http://pvp.qq.com/web201605/herodetail/116.shtml,http://news.17173.com/z/pvp/yxtj/jk/index.shtml
63,高渐离,http://pvp.qq.com/web201605/herodetail/115.shtml,http://news.17173.com/z/pvp/yxtj/gjl/index.shtml
64,刘禅,http://pvp.qq.com/web201605/herodetail/114.shtml,http://news.17173.com/z/pvp/yxtj/ls/index.shtml
65,庄周,http://pvp.qq.com/web201605/herodetail/113.shtml,http://news.17173.com/z/pvp/yxtj/zz/index.shtml
66,鲁班七号,http://pvp.qq.com/web201605/herodetail/112.shtml,http://news.17173.com/z/pvp/yxtj/lbqh/index.shtml
67,孙尚香,http://pvp.qq.com/web201605/herodetail/111.shtml,http://news.17173.com/z/pvp/yxtj/ssx/index.shtml
68,嬴政,http://pvp.qq.com/web201605/herodetail/110.shtml,http://news.17173.com/z/pvp/yxtj/yz/index.shtml
69,妲己,http://pvp.qq.com/web201605/herodetail/109.shtml,http://news.17173.com/z/pvp/yxtj/dj/index.shtml
70,墨子,http://pvp.qq.com/web201605/herodetail/108.shtml,http://news.17173.com/z/pvp/yxtj/mz/index.shtml
71,赵云,http://pvp.qq.com/web201605/herodetail/107.shtml,http://news.17173.com/z/pvp/yxtj/zy/index.shtml
72,小乔,http://pvp.qq.com/web201605/herodetail/106.shtml,http://news.17173.com/z/pvp/yxtj/xq/index.shtml
73,廉颇,http://pvp.qq.com/web201605/herodetail/105.shtml,http://news.17173.com/z/pvp/yxtj/lp/index.shtml
